Song,Quadrant,Title,Genres
MT0002969144,Q4,All Through the Night,"Jazz, Vocal"
MT0002980543,Q4,Old Main Drag,"Electronic, Folk, Pop/Rock"
MT0002986568,Q3,When Things Go Wrong,Pop/Rock
MT0002999366,Q1,Good Morning Little Schoolgirl,"Blues, Pop/Rock"
MT0003008724,Q2,The Fire Burns Inside,Pop/Rock
MT0003012633,Q4,Misty,"Jazz, Vocal"
MT0003019852,Q2,My Life,Pop/Rock
MT0003023886,Q2,Separation of My Soul,"Electronic, International, Pop/Rock"
MT0003025046,Q4,Beautiful Boy,"Children's, Pop/Rock"
MT0003025373,Q1,Always There,"Electronic, Jazz"
MT0003025883,Q4,Life Is a Song,"Jazz, Vocal"
MT0003028265,Q4,Save a Bread,Reggae
MT0003037754,Q3,Keep Hope Alive,Pop/Rock
MT0003038205,Q3,Leave Me Alone,"College Rock,Alternative Pop/Rock,Post-Punk,Alternative/Indie Rock,Pop/Rock"
MT0003041246,Q2,Straight Out of Line,Pop/Rock
MT0003044417,Q1,Just Because,"Electronic, Pop/Rock"
MT0003059710,Q1,Stir It Up,Reggae
MT0003067607,Q1,She's a Rainbow,Pop/Rock
MT0003081304,Q4,Time Travelin' (A Tribute to Fela),Rap
MT0003085195,Q2,Ain't Got No Class,Rap
MT0003085925,Q1,Hello Sunshine,R&B
MT0003087857,Q1,California Love,Rap
MT0003094118,Q2,Suicide,Rap
MT0003102331,Q4,The Fever,"Pop/Rock, R&B"
MT0003106472,Q2,Lost in Tha System,Rap
MT0003108238,Q4,Parchman Farm,Blues
MT0003109823,Q3,I'm With a Crowd But So Alone,Country
MT0003117846,Q2,Anti-Social,Pop/Rock
MT0003124476,Q2,Tim Is Gay,Pop/Rock
MT0003131369,Q1,So Emotional,"Electronic, Pop/Rock"
MT0003131435,Q1,I Can't Wait No Longer (Let's Do This),"Adult Contemporary,Quiet Storm,R&B,Urban,Soft Rock,Pop/Rock"
MT0003144898,Q1,Everybody Wants the Same Thing,"Electronic, Pop/Rock"
MT0003146944,Q4,Just a Closer Walk With Thee,"Country, Religious"
MT0003148189,Q4,Only Jah Alone,Reggae
MT0003163405,Q4,Aria,Classical
MT0003175531,Q1,Rosalyn,Pop/Rock
MT0003175805,Q4,Love Is the Power,"Holiday, Pop/Rock"
MT0003189890,Q3,Bad Luck Blues,"Blues, R&B"
MT0003205952,Q4,C.C. Rider,"Blues, Jazz"
MT0003209662,Q2,White Synthetic Noise,"Electronic, International, Pop/Rock"
MT0003213617,Q4,Got to Make a Comeback,"Blues, R&B"
MT0003213835,Q1,Not Fair,"Electronic, Reggae"
MT0003216840,Q1,Starry Eyed Surprise,Electronic
MT0003224500,Q2,Fallen,"Pop/Rock, Stage & Screen"
MT0003228768,Q4,Love Me or Leave Me,Blues
MT0003237550,Q2,Black Forest II,Pop/Rock
MT0003246728,Q1,Luxury,"Electronic, Pop/Rock"
MT0003248394,Q1,Someday at Christmas,"Holiday, R&B"
MT0003262589,Q2,Nothing,"Electronic, Pop/Rock"
MT0003263304,Q3,Is It News,"Blues, Pop/Rock"
MT0003264792,Q4,N Dey Say,"R&B, Rap"
MT0003272904,Q3,That Ain't No Way to Go,Country
MT0003274067,Q3,Driving,Pop/Rock
MT0003280103,Q4,I Know,"Country, Folk"
MT0003286463,Q1,They Don't Want Music,"Electronic, Rap"
MT0003287170,Q4,The Lord's Prayer,"Southern Gospel,Black Gospel,Traditional Gospel,Gospel,Religious"
MT0003287931,Q4,You Make Me Believe,"Easy Listening, Jazz, Pop/Rock"
MT0003294608,Q2,To Our Martyrs,Pop/Rock
MT0003300388,Q3,Stormy Weather [Index0:breakdown/index1:complete Alternative Take,"Jazz, Vocal"
MT0003304271,Q4,Looking Back,New Age
MT0003309945,Q2,Crypts of Eternity,Pop/Rock
MT0003315880,Q2,What's Your Problem,Pop/Rock
MT0003320924,Q3,It Serves Me Right to Suffer,Blues
MT0003326925,Q2,Big Mouth,Pop/Rock
MT0003328491,Q3,Need a Little Help,"Country, Pop/Rock"
MT0003329820,Q1,Swept Away,"Jazz, Pop/Rock, Vocal"
MT0003336370,Q3,Just Won't Do Right,R&B
MT0003336800,Q2,Shot Down,Pop/Rock
MT0003337396,Q2,Fight Back,"Electronic, International, Pop/Rock"
MT0003343422,Q3,It Never Entered My Mind,"Jazz, Vocal"
MT0003345751,Q2,Sorrowfilled,"Electronic, International, Pop/Rock"
MT0003352308,Q3,Dead and Gone,Pop/Rock
MT0003353602,Q2,State of Mind,"Electronic, Pop/Rock"
MT0003353794,Q3,How Can I Help You Say Goodbye,Country
MT0003354468,Q4,A Holly Jolly Christmas,"Country, Holiday"
MT0003362542,Q3,What Should I Do,Rap
MT0003362617,Q3,Which One of Them,Country
MT0003389088,Q4,That'd Be Alright,Country
MT0003390733,Q1,I Didn't Mean to Turn You On,"Pop/Rock, R&B"
MT0003402178,Q4,In the Bleak Midwinter,International
MT0003402277,Q1,Outside My Window,"R&B, Stage & Screen"
MT0003402538,Q3,I Wish I Liked You (As Much as I Love You),R&B
MT0003402994,Q1,Dirrty,"Electronic, R&B"
MT0003408163,Q4,When the Saints Go Marching In,Pop/Rock
MT0003420996,Q3,Ballad of the Sad Young Men,"Jazz, R&B"
MT0003421433,Q4,Killing Me Softly,R&B
MT0003424691,Q3,Love on Your Side (Rap Boy Rap),"Electronic, Pop/Rock"
MT0003428477,Q4,Polka Dots and Moonbeams,"Jazz, Vocal"
MT0003431207,Q1,Great Hosannah,"Electronic, Pop/Rock"
MT0003435704,Q3,Absence of the Heart,"Country, Pop/Rock"
MT0003440957,Q1,Telegram Sam,"Glam Rock,Proto-Punk,Pop/Rock,Hard Rock"
MT0003444822,Q2,Hate Me,"Electronic, International, Pop/Rock"
MT0003462877,Q2,All Fall Down,Pop/Rock
MT0003473344,Q4,Candle on the Water,Stage & Screen
MT0003482336,Q2,Brigade Song,Pop/Rock
MT0003496132,Q2,Wake Up,Pop/Rock
MT0003501434,Q3,Modulation,"Folk, Pop/Rock"
MT0003503243,Q2,I F****** Hate You,Pop/Rock
MT0003504525,Q3,Ain't No Santa,Rap
MT0003510796,Q4,Rock the House [Edit],"Electronic, Pop/Rock, Rap"
MT0003517837,Q4,You're Not Wrong for Loving Me,Pop/Rock
MT0003536193,Q1,Ain't No Mountain High Enough,R&B
MT0003539442,Q2,Nihilism 2002,"International, Pop/Rock"
MT0003542756,Q3,You Turned the Tables on Me,"Jazz, Vocal"
MT0003570082,Q1,Wet Dream,Reggae
MT0003587042,Q2,God Is a Lie,Pop/Rock
MT0003597979,Q4,Three Hundred Pounds of Joy,Blues
MT0003603497,Q4,Here Comes Santa Claus,"Country, Holiday"
MT0003603772,Q1,I Like,R&B
MT0003612742,Q2,Click Click Boom,"International, Pop/Rock"
MT0003617309,Q1,Trouble Again,Pop/Rock
MT0003623420,Q4,Holly Holy (Live),Pop/Rock
MT0003629164,Q4,One Step Over the Line,"Country, Pop/Rock"
MT0003630870,Q2,Talkin' Loud Ain't Sayin' Nothin',Rap
MT0003649209,Q1,Rock N' Roll High School,"Electronic, Pop/Rock, Stage & Screen"
MT0003655884,Q4,The Way You Look Tonight,"Stage & Screen, Vocal"
MT0003659365,Q2,Amity,Pop/Rock
MT0003663435,Q1,I've Got a Rock 'N' Roll Heart,Pop/Rock
MT0003669917,Q1,Come Together,Religious
MT0003728288,Q2,Odious & Devious,"Electronic, International, Pop/Rock"
MT0003729518,Q1,The Day and the Time,"Electronic, Latin, Pop/Rock, R&B"
MT0003732702,Q4,If You Can Dream,"Jazz, Pop/Rock, Stage & Screen"
MT0003740052,Q4,Kingdom Come,Religious
MT0003748227,Q3,A. 11,Country
MT0003759483,Q4,Bridge,Pop/Rock
MT0003762220,Q4,"Baby, I'm for Real",R&B
MT0003762339,Q2,Fading Dimensions,"Electronic, International, Pop/Rock"
MT0003768949,Q1,Your Sweetness Is My Weakness,R&B
MT0003770678,Q4,Running Blind,"Country, Religious"
MT0003774577,Q2,Duck & Run,Rap
MT0003782002,Q2,Mortuary Love Affair,"International, Pop/Rock"
MT0003788939,Q1,It's Gotta Be You,"Electronic, Pop/Rock"
MT0003791678,Q1,Mr. Blue Sky,"Contemporary Pop/Rock,Art Rock,Album Rock,Pop/Rock,Prog-Rock"
MT0003792475,Q3,Rifles,Pop/Rock
MT0003795778,Q1,Let's Stick Together,Pop/Rock
MT0003796752,Q1,Knocks Me off My Feet,"Pop/Rock, R&B"
MT0003808965,Q1,Before the World Was Made,
MT0003821577,Q2,Paradise Beyond,"International, Pop/Rock"
MT0003837569,Q2,Separation,"Electronic, Pop/Rock"
MT0003859252,Q2,Spit to See the Shine,Pop/Rock
MT0003861331,Q4,Somethin' 4 da Honeyz,"R&B, Rap"
MT0003863509,Q3,It Won't Be Long (And I'll Be Hating You),Country
MT0003868349,Q4,Wherever You May Be,"Blues, Pop/Rock"
MT0003868390,Q4,Lay My Burden Down,"Blues, Pop/Rock, R&B"
MT0003869539,Q1,Stand!,"Electronic, Pop/Rock, R&B"
MT0003878494,Q3,Baltimore Fire,"Country, Folk, International"
MT0003880691,Q2,Night of the Femaliens,"International, Pop/Rock"
MT0003881997,Q2,Somebody Told Me,Rap
MT0003898980,Q4,There's No Place Like Home for the Holidays,"Holiday, Vocal"
MT0003903675,Q1,Dead Ringer for Love,Pop/Rock
MT0003906833,Q1,Rocky Mountain Breakdown,Pop/Rock
MT0003907045,Q3,Various Stages,Pop/Rock
MT0003909053,Q3,Heartaches for a Dime,Country
MT0003909575,Q4,I'm a Man You Don't Meet Every Day,"Electronic, Folk, International, Pop/Rock"
MT0003922883,Q4,This Girl's In Love with You,"Pop/Rock, R&B"
MT0003934644,Q1,Everlasting Love,"Latin, Pop/Rock"
MT0003935299,Q4,We'll Be Together Again,"Jazz, Vocal"
MT0003950978,Q2,Breakin' Dishes,"Electronic, Pop/Rock, R&B"
MT0003957022,Q1,Come Back as a Flower,Stage & Screen
MT0003965796,Q1,Rhythm Is Gonna Get You,"Latin, Pop/Rock"
MT0003968039,Q4,Spanish Guitar,"Pop/Rock, R&B"
MT0003968586,Q2,Postfuturistika,"Electronic, International, Pop/Rock"
MT0003970870,Q3,All of Me,"Blues, Jazz, Vocal"
MT0003974181,Q3,Who Wants Love?,"Blues, Jazz, Vocal"
MT0003979876,Q2,Suffer the Little Children to Come Unto Me,"International, Pop/Rock"
MT0004001989,Q1,Build Me Up,R&B
MT0004005104,Q4,Sleeping Bag,Pop/Rock
MT0004009266,Q4,Your Side of the World,"New Age, Pop/Rock, Religious"
MT0004012938,Q2,Nightmare in Ashes and Blood,"Electronic, International, Pop/Rock"
MT0004014951,Q3,Hotel,Pop/Rock
MT0004020993,Q1,You Can't Hurry Love,Country
MT0004025604,Q2,Mine for the Taking,"Electronic, International, Pop/Rock"
MT0004028719,Q2,White Lines (Don't Don't Do It),Rap
MT0004032349,Q4,Looking for You,Religious
MT0004033010,Q1,Keep on Lovin' You,R&B
MT0004068560,Q2,Firestorms,"Electronic, International, Pop/Rock"
MT0004072079,Q2,How Can We Live Like This,Pop/Rock
MT0004073991,Q2,Set It Off,Rap
MT0004085907,Q2,Vice,Rap
MT0004087145,Q2,Quarantine,"Electronic, International, Pop/Rock"
MT0004091857,Q1,ABC,"Electronic, R&B"
MT0004098601,Q4,Isaac & Abraham,"Folk, International, Pop/Rock"
MT0004113262,Q1,Timor,"Electronic, Latin, Pop/Rock, R&B"
MT0004117319,Q3,I Never Thought I'd See the Day,"Pop/Rock, R&B"
MT0004131260,Q3,Odds & Frauds,Pop/Rock
MT0004137658,Q2,Dr. Piranha,"Electronic, Pop/Rock"
MT0004141823,Q1,Conga,"Electronic, Latin, Pop/Rock"
MT0004156130,Q4,Memories of a Colour,Pop/Rock
MT0004157335,Q4,A Satisfied Mind,"Blues, Pop/Rock"
MT0004180568,Q4,The Air That I Breathe,"Latin, Pop/Rock, Vocal"
MT0004183911,Q2,Sabbath Bloody Sabbath,
MT0004184616,Q3,I Gotta Right to Sing the Blues,"Jazz, Vocal"
MT0004194402,Q3,Wee Wee Baby,"Blues, R&B"
MT0004197514,Q2,Panic!!!!!,Rap
MT0004212108,Q3,Rags to Riches,R&B
MT0004219321,Q4,I Will Miss You When You Go,Country
MT0004232099,Q3,Suppertime,"Jazz, Vocal"
MT0004240748,Q2,Tear Down the Walls,Pop/Rock
MT0004254228,Q2,Moto Psycho,Pop/Rock
MT0004256890,Q4,Let's Wait Awhile,"Electronic, Pop/Rock, R&B"
MT0004262978,Q4,Over the Rainbow,"Stage & Screen, Vocal"
MT0004263301,Q3,If It Weren't For Him,Country
MT0004287283,Q3,Slow Walking Mama,"Blues, R&B"
MT0004290389,Q3,The Lady of Shalott,Pop/Rock
MT0004293364,Q2,Gilla House Check,Rap
MT0004306521,Q4,Love a Little Stronger,Country
MT0004317784,Q3,Weightless Again,Pop/Rock
MT0004335339,Q4,Reaching For the Moon,
MT0004337195,Q1,Be-Bop-A-Lula '69,Pop/Rock
MT0004338270,Q1,Good Time Feeling,"Electronic, Pop/Rock"
MT0004352104,Q3,"Danger, Heartbreak Dead Ahead",R&B
MT0004352726,Q4,Pick Up the Oars and Row,"Country, Religious"
MT0004362501,Q4,Ten Commandments of Love,Reggae
MT0004380082,Q4,Run My Way Runway,
MT0004395306,Q4,Skylark,"Jazz, Vocal"
MT0004397754,Q3,Pressure,Rap
MT0004400843,Q3,Want,Pop/Rock
MT0004414074,Q2,Emancipation,"Electronic, International, Pop/Rock"
MT0004422924,Q1,If Anyone Falls,Pop/Rock
MT0004425744,Q1,"Signed, Sealed, Delivered (I'm Yours)",R&B
MT0004440606,Q3,Paradigm,"Folk, Pop/Rock"
MT0004444570,Q1,U Got the Look,"Electronic, Pop/Rock, R&B"
MT0004447086,Q2,Such a Sick Boy,"Electronic, International, Pop/Rock"
MT0004459450,Q2,War on the Pentagon,Pop/Rock
MT0004469135,Q1,Satisfaction Guaranteed (Or Take Your Love Back),R&B
MT0004476235,Q3,Death of Samantha,"Folk, International, Pop/Rock"
MT0004485367,Q3,Create Me,Pop/Rock
MT0004489039,Q3,North Country Blues,"Folk, Pop/Rock"
MT0004491170,Q4,People Get Ready,"Easy Listening, Pop/Rock"
MT0004497478,Q2,Dreaming in Red,"Electronic, International, Pop/Rock"
MT0004500770,Q3,My Heart Cries for You,Vocal
MT0004506984,Q1,Night Fever,"Adult Contemporary,R&B,Contemporary Pop/Rock,Disco,Pop/Rock"
MT0004511265,Q2,This Trust Will Kill Again,"Electronic, International, Pop/Rock"
MT0004512063,Q2,Eviscerated,"Electronic, International, Pop/Rock"
MT0004514306,Q3,Rails,"Electronic, Pop/Rock"
MT0004517675,Q4,The Gift,"New Age, Religious"
MT0004519452,Q1,Beauty and the Beast,Pop/Rock
MT0004525980,Q4,You Take It All,Electronic
MT0004540242,Q4,Cruisin',"Pop/Rock, R&B"
MT0004542745,Q4,Trolley Song,"Jazz, Vocal"
MT0004548391,Q3,Godd Complexx,Rap
MT0004550434,Q2,Don't Have the Cow,Pop/Rock
MT0004550458,Q4,"Whoopie-Ti-Yi-Yo, Get Along Little Dogies",Folk
MT0004551480,Q1,Sputnik,Blues
MT0004558203,Q2,The New Black,Pop/Rock
MT0004558461,Q2,Artificial Girl,Pop/Rock
MT0004588191,Q1,I'm Talking About You,Pop/Rock
MT0004609722,Q3,There'll Come a Time,"Country, Folk, International"
MT0004625127,Q3,Paint Out the Light,Pop/Rock
MT0004644495,Q4,Ari's Song,"Jazz, Pop/Rock"
MT0004645468,Q2,09-May,"International, Pop/Rock"
MT0004674397,Q2,Who Is tha Man,"Rap, Stage & Screen"
MT0004683099,Q1,We Are Family,R&B
MT0004692317,Q1,More Than a Woman,"Adult Contemporary,Disco,R&B,Contemporary Pop/Rock,Pop/Rock,Soft Rock"
MT0004692456,Q1,Deeper and Deeper,"Electronic, Pop/Rock"
MT0004711079,Q1,Ma�ana (Is Soon Enough for Me),"Jazz, Vocal"
MT0004725201,Q4,I Didn't Know What Time It Was,"Jazz, Vocal"
MT0004725405,Q1,Witch Doktor,"Electronic, Pop/Rock"
MT0004739956,Q2,Dirge Inferno,"Electronic, Pop/Rock"
MT0004754115,Q4,Don't Let Me Lose This Dream,"Pop/Rock, R&B"
MT0004758223,Q4,Put Your Dreams Away,"Stage & Screen, Vocal"
MT0004759588,Q2,Impure Perfection,"Electronic, Pop/Rock"
MT0004772896,Q3,These Broken Hearts,Country
MT0004776609,Q4,Chances Are,Vocal
MT0004781165,Q3,You Never Miss Your Water,Blues
MT0004798504,Q2,Dead Stop,Pop/Rock
MT0004798790,Q3,Waitin' for Warfare,Rap
MT0004811602,Q2,Wargods,"Electronic, International, Pop/Rock"
MT0004816612,Q1,That Old Black Magic,"Blues, Jazz, Vocal"
MT0004829377,Q3,Baby a Go-Go,R&B
MT0004836526,Q2,Mosh,Rap
MT0004840819,Q3,I Cheated Me Right of You,Country
MT0004842694,Q3,"Brother, Can You Spare a Dime?","Jazz, Vocal"
MT0004844832,Q2,Dread and the Fugitive Mind,"Pop/Rock,Heavy Metal,Speed/Thrash Metal"
MT0004850406,Q4,Cowboys Like Us,Country
MT0004861138,Q2,U Not Like Me,Rap
MT0004864453,Q4,"Breathe in, Breathe Out, Move On",Pop/Rock
MT0004866559,Q2,Shoot on Sight (S.O.S.),Rap
MT0004867185,Q2,Badda Dan Dem,Reggae
MT0004869271,Q3,This Place,"Jazz, Pop/Rock"
MT0004872217,Q2,Make My Day,"Electronic, International, Pop/Rock"
MT0004882280,Q2,Wasteland,Pop/Rock
MT0004883551,Q1,Star,"Electronic, Rap"
MT0004890000,Q1,Be My Baby,R&B
MT0004896738,Q1,Whoops Now,"Electronic, Pop/Rock, R&B"
MT0004905223,Q4,Come Home Running,Religious
MT0004910983,Q3,Melancholy Man,Pop/Rock
MT0004920547,Q1,Get It While You Can,"Electronic, Pop/Rock"
MT0004925844,Q4,Have Yourself a Merry Little Christmas,"Holiday, Pop/Rock"
MT0004936799,Q3,Five Long Years,"Blues, R&B"
MT0004943985,Q1,Do You Remember?,"Contemporary Pop/Rock,Early Pop/Rock,Pop/Rock,Rock & Roll"
MT0004948855,Q2,Lockdown,"Electronic, Pop/Rock"
MT0004961409,Q2,When a Good Friend Attacks,Pop/Rock
MT0004961734,Q1,The Power and the Glory,"Electronic, Pop/Rock"
MT0004962647,Q4,In the Bleak Mid Winter,"Holiday, Pop/Rock"
MT0004963809,Q4,English Rose,Pop/Rock
MT0004970058,Q4,Rider in the Rain,Pop/Rock
MT0004982192,Q2,Forty Six & 2,Pop/Rock
MT0005001966,Q3,Don't Fade Away,"Jazz, New Age, Pop/Rock"
MT0005009443,Q4,If I Were a Carpenter,Pop/Rock
MT0005023904,Q3,The Garden,"Electronic, Pop/Rock"
MT0005026798,Q2,"Loot, Shoot, Electrocute","International, Pop/Rock"
MT0005029328,Q2,History's Stranglers,"Electronic, Pop/Rock"
MT0005030845,Q3,Warning Label,Country
MT0005033429,Q1,Animal Farm,"Baroque Pop,AM Pop,British Invasion,Contemporary Pop/Rock,Pop/Rock"
MT0005039941,Q2,No One Can Do It Better,Rap
MT0005044119,Q2,Big Deal,Country
MT0005064430,Q4,Why?,Jazz
MT0005072543,Q1,I've Got a Pocketful of Dreams,"Jazz, Vocal"
MT0005083885,Q3,My Elusive Dreams,Country
MT0005094727,Q3,You're Gonna Miss Me,"Blues, R&B"
MT0005111463,Q3,See If I Care,Country
MT0005113916,Q4,Life Is So Peculiar,"Blues, Jazz"
MT0005115042,Q3,I Was So Wrong,"Blues, R&B"
MT0005118426,Q4,Little Girl,"Easy Listening, Jazz, Vocal"
MT0005134466,Q3,All Day Long,Pop/Rock
MT0005142001,Q4,Is There Anybody There,"Electronic, Pop/Rock"
MT0005155949,Q3,How I Wish (Ask Me Now),Jazz
MT0005157804,Q4,He's Got His Eye on You,Religious
MT0005158273,Q4,Baby Don't Do It,Reggae
MT0005171537,Q2,Fanatics,"Electronic, International, Pop/Rock"
MT0005189351,Q3,Be Mine,"International, Pop/Rock"
MT0005189820,Q3,These Days,Pop/Rock
MT0005198745,Q4,Ferret & Featherbird,Pop/Rock
MT0005202791,Q2,Scrape the Surface,"International, Pop/Rock"
MT0005223794,Q2,The World Needs a Hero,Pop/Rock
MT0005241287,Q2,Promises,Pop/Rock
MT0005241699,Q1,Love Rollercoaster,Pop/Rock
MT0005243931,Q2,Anti Christ,"Electronic, Pop/Rock"
MT0005253065,Q3,It's an Uphill Climb (To the Bottom),R&B
MT0005262725,Q3,The Briar and the Rose,"Pop/Rock, Stage & Screen"
MT0005265641,Q1,Dude,Reggae
MT0005272837,Q4,You're Gonna Quit Me,"Folk, Pop/Rock"
MT0005285696,Q4,Sleep Tight,"Children's, Pop/Rock"
MT0005286165,Q2,My Disaster,Pop/Rock
MT0005287506,Q2,Rentboy,"Electronic, International, Pop/Rock"
MT0005294278,Q3,Love Me or Leave Me (Breakdown),"Blues, Jazz, Vocal"
MT0005304966,Q2,I'm a Rebel,"Electronic, International, Pop/Rock"
MT0005319891,Q2,Soon to Be Dead,"Electronic, International, Pop/Rock"
MT0005330350,Q3,There's No Hiding Place Down Here,"Country, International"
MT0005331755,Q1,It's Gonna Be Me,"Electronic, Pop/Rock"
MT0005344437,Q4,Send One Your Love,"Easy Listening, R&B"
MT0005379911,Q3,Spirit,"Pop/Rock, Vocal"
MT0005387539,Q2,Overripe,"International, Pop/Rock"
MT0005404111,Q1,Memphis in the Meantime,"Country,Heartland Rock,Alternative/Indie Rock,Roots Rock,Country-Rock,Americana,Pop/Rock,College Rock"
MT0005404247,Q3,Strange,"Country, Folk"
MT0005409948,Q2,Certified Samurai,"Rap, Stage & Screen"
MT0005411969,Q2,Cannibal Cafe,Pop/Rock
MT0005417719,Q2,Rite Now,Rap
MT0005422349,Q4,Come Fly With Me,"Jazz, Vocal"
MT0005425879,Q4,Thanks for the Memory,"Jazz, Vocal"
MT0005426130,Q1,Cream,"Pop/Rock, R&B"
MT0005431678,Q2,Dedicated,Rap
MT0005435622,Q4,Good Clean Fun,"Pop/Rock, Stage & Screen"
MT0005443513,Q4,Christmas Dreaming (A Little Early This Year),"Holiday, Vocal"
MT0005451862,Q2,Bail Out,Pop/Rock
MT0005469880,Q1,The Girls from Texas,"Country, Folk, Pop/Rock"
MT0005478759,Q1,Bailamos,"Latin, Stage & Screen"
MT0005486154,Q3,Bad Dreams,"Jazz, Pop/Rock"
MT0005497233,Q2,Kill 'Em All,Rap
MT0005515169,Q2,Feel It,Pop/Rock
MT0005519111,Q4,Dear Father,
MT0005523766,Q1,Willie and the Hand Jive,"Blues, Pop/Rock, R&B"
MT0005540023,Q2,The Beast,Pop/Rock
MT0005540184,Q4,"Say You, Say Me",Pop/Rock
MT0005540907,Q1,Look at Little Sister,"Pop/Rock, R&B"
MT0005550288,Q2,In Vain,Pop/Rock
MT0005556630,Q4,When You Awake,Pop/Rock
MT0005567133,Q2,Blood and Thunder,Pop/Rock
MT0005568749,Q3,Angela,Pop/Rock
MT0005575348,Q3,Story of My Life,"Blues, R&B"
MT0005592810,Q1,Come Go with Me,"Pop/Rock, R&B"
MT0005593407,Q3,Done Got Old,"Blues, R&B"
MT0005621435,Q3,What More Can a Woman Do,Jazz
MT0005625323,Q1,Your Sister Can't Twist (But She Can Rock 'n Roll),Pop/Rock
MT0005625762,Q1,Intro,Rap
MT0005630273,Q3,Guide Vocal,Pop/Rock
MT0005638160,Q2,Walk with Me in Hell,"Electronic, Pop/Rock"
MT0005642770,Q2,...to Carry On,"Electronic, International, Pop/Rock"
MT0005652563,Q2,Victums of the Womanizer,Pop/Rock
MT0005655655,Q3,Worried Life Blues,"Blues, R&B"
MT0005656534,Q4,The Christmas Song,"Holiday, Vocal"
MT0005660001,Q1,Good Luck,Electronic
MT0005666606,Q1,Come on Over (All I Want Is You),Pop/Rock
MT0005669153,Q3,Atlantic City,"Psychedelic/Garage,Folk-Rock,Album Rock,Alternative Folk,Pop/Rock,Folk,Heartland Rock"
MT0005673020,Q2,Justin,"Folk, Pop/Rock"
MT0005675358,Q2,Backwards Over Germany,"International, Pop/Rock"
MT0005695311,Q4,Perfect Moment,Pop/Rock
MT0005707044,Q4,Reminiscing,Religious
MT0005713768,Q1,Let Me Love You,"Blues, Pop/Rock"
MT0005715379,Q4,Never Mind,"Country, Folk"
MT0005715715,Q1,On a Night Like This,Pop/Rock
MT0005723257,Q3,"Tears, Tears, Tears (Tears in My Eyes)","Blues, R&B"
MT0005725657,Q2,Last Caress/Green Hell,"Electronic, Pop/Rock"
MT0005727783,Q3,Glad to Be Unhappy,"Jazz, Vocal"
MT0005740567,Q3,You've Lost That Lovin' Feelin',Reggae
MT0005751512,Q2,With Blood Comes Cleansing,"Electronic, Pop/Rock"
MT0005752234,Q1,The Truth About Men,Country
MT0005756784,Q2,The I.N.C. Is Back,"Electronic, Rap"
MT0005760259,Q2,"Young, Gifted and Skint","Electronic, Pop/Rock"
MT0005761702,Q3,Loan Me a Dime,"Pop/Rock, R&B"
MT0005763004,Q1,Woozy,Rap
MT0005774267,Q2,Room 13,Pop/Rock
MT0005775235,Q4,Santa Claus Is Coming to Town,"Country, Holiday"
MT0005802574,Q1,Footloose,Pop/Rock
MT0005804191,Q4,Daddy's Home,R&B
MT0005822463,Q3,Blue Ink,"Country, Pop/Rock"
MT0005822671,Q2,Left to Starve,Pop/Rock
MT0005826176,Q2,Voodoo People,"Electronic,Techno,Club/Dance,Rave"
MT0005827376,Q4,I Want You,R&B
MT0005828366,Q4,Before There Was Time,"Pop/Rock, Religious"
MT0005830128,Q4,Kiss Me,"Pop/Rock, R&B"
MT0005850999,Q4,Why Should I,Reggae
MT0005860700,Q1,Dream a Little Dream of Me,"Jazz, Vocal"
MT0005863380,Q4,Theme,Easy Listening
MT0005884980,Q4,O Holy Night,"Classical, Easy Listening, Holiday, Vocal"
MT0005912220,Q3,You Cut Me to the Bone,Blues
MT0005916227,Q3,If I Give My Love to You?,Blues
MT0005941425,Q4,I Wonder as I Wonder,
MT0005944471,Q1,Say,"Latin, Pop/Rock"
MT0005947736,Q4,Shall We Gather at the River?,"Country, Religious"
MT0005951020,Q2,Mountain to Sound,Pop/Rock
MT0005959692,Q4,Apocalypse Politics,"International, Pop/Rock"
MT0005963165,Q3,Love in Itself 2,"Electronic, Pop/Rock"
MT0005974256,Q2,Get Out the State,Pop/Rock
MT0005995195,Q4,Moondance,"Jazz, Pop/Rock, R&B"
MT0006001707,Q2,Ambition,"Electronic, Pop/Rock"
MT0006005146,Q2,Egg Raid on Mojo [Demo],"Electronic, Pop/Rock"
MT0006007936,Q2,Welcome to the Terrordome,"Rap,Political Rap,East Coast Rap,Golden Age,Hardcore Rap"
MT0006022752,Q3,Goin' Down Slow,Blues
MT0006036535,Q3,Love Me or Leave Me,Jazz
MT0006037085,Q4,Pretty Paper,"Country, Holiday"
MT0006039798,Q3,Can't Even Get the Blues No More,Country
MT0006044445,Q4,The Unclouded Day,"Country, Religious"
MT0006051812,Q3,Sweet Sweet Girl,Country
MT0006067841,Q2,Never Again,"Electronic, International, Pop/Rock"
MT0006078896,Q2,Mastermind,Pop/Rock
MT0006114773,Q1,Can't Tame the Lion,Pop/Rock
MT0006115121,Q4,California Sunset,Country
MT0006129774,Q4,The Moon Was Yellow and the Night Was Young,"Jazz, Vocal"
MT0006137136,Q4,Do They Know,"Holiday, R&B"
MT0006137300,Q4,How Far Am I from Canaan?,Religious
MT0006137372,Q3,Cowboy Star,Pop/Rock
MT0006157839,Q2,Not in Any Name,"Electronic, Pop/Rock"
MT0006159067,Q3,On the Road Again,Blues
MT0006164654,Q4,"Reno, Nevada","Folk, Pop/Rock"
MT0006169551,Q4,The Little Vagabond,Folk
MT0006171393,Q3,Walking and Falling,"Avant-Garde, Pop/Rock"
